repeat,fold,k,max_depth,f1
10,4,10,3,0.027777777777777776
10,5,10,3,0.027777777777777776
10,6,10,3,0.08108108108108109
10,7,10,3,0.0
10,8,10,3,0.08108108108108109
10,9,10,3,0.0547945205479452
10,10,10,3,0.08108108108108109
1,1,10,5,0.5858585858585859
1,2,10,5,0.6
1,3,10,5,0.48936170212765956
1,4,10,5,0.594059405940594
1,5,10,5,0.7027027027027027
1,6,10,5,0.58
1,7,10,5,0.5052631578947369
1,8,10,5,0.6481481481481481
1,9,10,5,0.660377358490566
1,10,10,5,0.6213592233009708
2,1,10,5,0.6274509803921569
2,2,10,5,0.4946236559139785
2,3,10,5,0.5656565656565656
2,4,10,5,0.6481481481481481
2,5,10,5,0.56
2,6,10,5,0.5252525252525253
2,7,10,5,0.5742574257425742
2,8,10,5,0.594059405940594
2,9,10,5,0.6078431372549019
2,10,10,5,0.6355140186915887
3,1,10,5,0.6019417475728155
3,2,10,5,0.5858585858585859
3,3,10,5,0.6
3,4,10,5,0.6355140186915887
3,5,10,5,0.5656565656565656
3,6,10,5,0.6078431372549019
3,7,10,5,0.6226415094339622
3,8,10,5,0.48936170212765956
3,9,10,5,0.6846846846846847
3,10,10,5,0.4842105263157895
4,1,10,5,0.5510204081632653
4,2,10,5,0.5208333333333334
4,3,10,5,0.5686274509803921
4,4,10,5,0.6153846153846154
4,5,10,5,0.6481481481481481
4,6,10,5,0.6851851851851852
4,7,10,5,0.54
4,8,10,5,0.6346153846153846
4,9,10,5,0.6428571428571429
4,10,10,5,0.6213592233009708
5,1,10,5,0.6792452830188679
5,2,10,5,0.6138613861386139
5,3,10,5,0.58
5,4,10,5,0.5360824742268041
5,5,10,5,0.54
5,6,10,5,0.6078431372549019
5,7,10,5,0.6355140186915887
5,8,10,5,0.54
5,9,10,5,0.6666666666666666
5,10,10,5,0.6346153846153846
6,1,10,5,0.5360824742268041
6,2,10,5,0.5360824742268041
6,3,10,5,0.58
6,4,10,5,0.6346153846153846
6,5,10,5,0.594059405940594
6,6,10,5,0.5656565656565656
6,7,10,5,0.6153846153846154
6,8,10,5,0.56
6,9,10,5,0.6153846153846154
6,10,10,5,0.6476190476190476
7,1,10,5,0.6213592233009708
7,2,10,5,0.5961538461538461
7,3,10,5,0.5714285714285714
7,4,10,5,0.6078431372549019
7,5,10,5,0.6226415094339622
7,6,10,5,0.6078431372549019
