repeat,fold,k,max_depth,f1
8,2,5,None,0.7935222672064778
8,3,5,None,0.8097165991902834
8,4,5,None,0.8346456692913385
8,5,5,None,0.7591836734693878
9,1,5,None,0.8081632653061225
9,2,5,None,0.7935222672064778
9,3,5,None,0.8
9,4,5,None,0.7918367346938775
9,5,5,None,0.7918367346938775
10,1,5,None,0.7435897435897436
10,2,5,None,0.7886178861788617
10,3,5,None,0.8492063492063492
10,4,5,None,0.782608695652174
10,5,5,None,0.7983870967741935
1,1,10,None,0.873015873015873
1,2,10,None,0.8130081300813008
1,3,10,None,0.7704918032786885
1,4,10,None,0.7563025210084033
1,5,10,None,0.828125
1,6,10,None,0.7586206896551724
1,7,10,None,0.8346456692913385
1,8,10,None,0.796875
1,9,10,None,0.8346456692913385
1,10,10,None,0.819672131147541
2,1,10,None,0.8444444444444444
2,2,10,None,0.7627118644067796
2,3,10,None,0.8253968253968254
2,4,10,None,0.8939393939393939
2,5,10,None,0.819672131147541
2,6,10,None,0.8064516129032258
2,7,10,None,0.7457627118644068
2,8,10,None,0.8
2,9,10,None,0.8292682926829268
2,10,10,None,0.78125
3,1,10,None,0.8188976377952756
3,2,10,None,0.8
3,3,10,None,0.7563025210084033
3,4,10,None,0.8615384615384616
3,5,10,None,0.8292682926829268
3,6,10,None,0.816
3,7,10,None,0.8125
3,8,10,None,0.75
3,9,10,None,0.7967479674796748
3,10,10,None,0.7226890756302521
4,1,10,None,0.7457627118644068
4,2,10,None,0.7768595041322314
4,3,10,None,0.8064516129032258
4,4,10,None,0.7868852459016393
4,5,10,None,0.8346456692913385
4,6,10,None,0.8095238095238095
4,7,10,None,0.8064516129032258
4,8,10,None,0.8503937007874016
4,9,10,None,0.8062015503875969
4,10,10,None,0.7967479674796748
5,1,10,None,0.8787878787878788
5,2,10,None,0.7936507936507936
5,3,10,None,0.8787878787878788
5,4,10,None,0.7899159663865546
5,5,10,None,0.7868852459016393
5,6,10,None,0.7642276422764228
5,7,10,None,0.7777777777777778
5,8,10,None,0.7288135593220338
5,9,10,None,0.7936507936507936
5,10,10,None,0.8548387096774194
6,1,10,None,0.7627118644067796
6,2,10,None,0.7758620689655172
6,3,10,None,0.8225806451612904
6,4,10,None,0.8548387096774194
6,5,10,None,0.8064516129032258
6,6,10,None,0.8217054263565892
6,7,10,None,0.7580645161290323
6,8,10,None,0.8
6,9,10,None,0.8307692307692308
6,10,10,None,0.8372093023255814
7,1,10,None,0.8455284552845529
7,2,10,None,0.8062015503875969
7,3,10,None,0.8571428571428571
7,4,10,None,0.7692307692307693
7,5,10,None,0.84375
7,6,10,None,0.7603305785123967
7,7,10,None,0.816
7,8,10,None,0.859375
7,9,10,None,0.7777777777777778
7,10,10,None,0.8032786885245902
8,1,10,None,0.8099173553719008
8,2,10,None,0.7903225806451613
8,3,10,None,0.7967479674796748
8,4,10,None,0.8682170542635659
8,5,10,None,0.8661417322834646
8,6,10,None,0.7521367521367521
8,7,10,None,0.8292682926829268
8,8,10,None,0.8695652173913043
8,9,10,None,0.7627118644067796
8,10,10,None,0.8346456692913385
9,1,10,None,0.7521367521367521
9,2,10,None,0.832
9,3,10,None,0.8064516129032258
9,4,10,None,0.8125
9,5,10,None,0.8548387096774194
9,6,10,None,0.7899159663865546
9,7,10,None,0.8064516129032258
9,8,10,None,0.8
9,9,10,None,0.7933884297520661
9,10,10,None,0.8244274809160306
10,1,10,None,0.7741935483870968
10,2,10,None,0.75
10,3,10,None,0.7868852459016393
10,4,10,None,0.859375
10,5,10,None,0.8346456692913385
10,6,10,None,0.8412698412698413
10,7,10,None,0.8467153284671532
10,8,10,None,0.7741935483870968
10,9,10,None,0.8
10,10,10,None,0.784
